Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Adventure,Athena,12206,2001.0,0.0,0.0,0.07,0.0,0.07
Adventure,Atlus,14774,2006.0,0.0,0.0,0.03,0.0,0.03
Adventure,Avanquest,16053,2011.0,0.0,0.01,0.0,0.0,0.01
Adventure,Avanquest Software,19649,6036.0,0.9500000000000001,0.42000000000000004,0.03,0.17,1.57
Adventure,BAM! Entertainment,22930,6005.0,0.5700000000000001,0.21,0.0,0.02,0.79
Adventure,Banpresto,68941,12038.0,0.0,0.0,0.6200000000000001,0.01,0.6400000000000001
Adventure,Big Ben Interactive,15361,2013.0,0.0,0.02,0.0,0.0,0.02
Adventure,Big Fish Games,15614,2008.0,0.0,0.01,0.0,0.0,0.02
Adventure,Blast! Entertainment Ltd,28195,4017.0,0.02,0.05,0.0,0.0,0.07
Adventure,Boost On,16158,2013.0,0.0,0.0,0.01,0.0,0.01
Adventure,Broccoli,124415,18106.0,0.0,0.0,0.43000000000000005,0.0,0.43000000000000005
Adventure,BushiRoad,14609,2012.0,0.0,0.0,0.03,0.0,0.03
Adventure,CDV Software Entertainment,10486,2008.0,0.09,0.0,0.0,0.01,0.1
Adventure,Capcom,155828,44153.0,3.6200000000000006,1.4800000000000002,4.609999999999999,0.5300000000000001,10.249999999999996
Adventure,Cave,16047,2011.0,0.0,0.0,0.01,0.0,0.01
Adventure,ChunSoft,114780,22041.0,0.37,0.0,1.7500000000000002,0.04,2.1599999999999993
Adventure,City Interactive,50952,10051.0,0.33,0.2,0.0,0.05,0.5900000000000001
Adventure,Coconuts Japan,15304,1996.0,0.01,0.01,0.0,0.0,0.02
Adventure,Codemasters,59508,12038.0,0.6000000000000001,0.12,0.0,0.060000000000000005,0.78
Adventure,Comfort,74883,10055.0,0.0,0.0,0.13,0.0,0.13
Adventure,Compile Heart,59816,8049.0,0.0,0.0,0.11000000000000001,0.0,0.11000000000000001
Adventure,Crave Entertainment,8943,1999.0,0.08,0.06,0.0,0.01,0.15
Adventure,Creative Core,14737,2009.0,0.0,0.0,0.03,0.0,0.03
Adventure,Crimson Cow,15827,2008.0,0.0,0.01,0.0,0.0,0.02
Adventure,Crystal Dynamics,8957,1996.0,0.08,0.06,0.0,0.01,0.15
Adventure,Culture Brain,15713,2010.0,0.0,0.0,0.02,0.0,0.02
Adventure,CyberFront,124632,16074.0,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002
Adventure,D3Publisher,469852,62299.0,0.04,0.0,0.7200000000000004,0.0,0.7700000000000005
Adventure,DSI Games,16541,2007.0,0.01,0.0,0.0,0.0,0.01
Adventure,DTP Entertainment,137374,20092.0,0.12000000000000001,0.28,0.0,0.05,0.46
